Концентрация	Вероятность
0,927806	1,000000
0,928907	1,000000
0,929848	1,000000
0,931077	1,000000
0,932073	1,000000
0,933119	1,000000
0,934013	1,000000
0,934776	1,000000
0,936051	1,000000
0,937153	1,000000
0,938220	1,000000
0,939120	1,000000
0,940007	1,000000
0,941021	1,000000
0,941998	1,000000
0,942788	1,000000
0,944194	1,000000
0,945119	1,000000
0,946064	1,000000
0,946973	1,000000
0,947927	1,000000
0,948725	1,000000
0,950157	1,000000
0,950900	1,000000
0,951757	1,000000
0,952862	1,000000
0,954070	1,000000
0,955190	1,000000
0,956070	1,000000
0,956701	1,000000
0,957766	1,000000
0,959110	1,000000
0,959874	1,000000
0,960737	1,000000
0,961914	1,000000
0,962690	1,000000
0,963945	1,000000
0,965063	1,000000
0,965881	1,000000
0,967099	1,000000
0,967756	1,000000
0,968991	1,000000
0,970096	1,000000
0,971031	1,000000
0,972284	1,000000
0,972942	1,000000
0,974049	1,000000
0,975145	1,000000
0,976184	1,000000
0,977092	1,000000
0,978126	1,000000
0,979016	1,000000
0,980152	1,000000
0,981059	1,000000
0,982011	1,000000
0,982904	1,000000
0,984077	1,000000
0,984886	1,000000
0,986086	1,000000
0,987267	1,000000
0,988082	1,000000
0,988853	1,000000
0,990050	1,000000
0,990879	1,000000
0,991952	1,000000
0,992970	1,000000
0,993928	1,000000
0,994868	1,000000
0,996062	1,000000
0,997079	1,000000
0,998115	1,000000
0,999022	1,000000
1,000000	1,000000
