p	 S	 P
0,608675	29,083621	0,333675
0,613350	27,773520	0,347575
0,619550	24,958654	0,392550
0,612450	30,767445	0,332925
0,615425	22,856902	0,390650
0,619975	25,421837	0,397275
0,620425	22,130333	0,419225
0,617475	26,773303	0,373025
0,620575	23,755556	0,396950
0,618950	28,631757	0,357100
0,622400	21,832474	0,429400
0,618850	22,251833	0,410325
0,622850	23,510154	0,408650
0,622875	24,599616	0,397950
0,627500	24,337481	0,406425
0,624450	21,596206	0,417375
0,626050	25,811711	0,412600
0,631875	22,614249	0,415725
0,629900	19,173455	0,451300
0,632225	23,116510	0,433000
0,635400	18,937397	0,469100
0,631675	21,306534	0,439100
0,634025	19,627087	0,459375
0,635550	20,168486	0,456000
0,634775	23,907584	0,443175
0,639050	19,373893	0,470875
0,638250	15,694836	0,500075
0,635900	22,147771	0,455050
0,641175	20,224830	0,471975
0,638700	22,131484	0,457125
0,646325	14,398105	0,517575
0,645800	16,420977	0,501875
0,644875	20,755485	0,490850
0,650300	18,395477	0,510350
0,645750	18,856948	0,494500
0,651550	14,603473	0,527750
0,650400	19,348046	0,501700
0,656025	18,380376	0,523225
0,653350	17,074453	0,513800
0,653850	17,744139	0,528175
0,655200	19,080202	0,521275
0,655375	18,499639	0,522975
0,655650	15,834198	0,528975
0,661600	14,497364	0,556500
0,663625	16,340377	0,555275
0,657550	16,297293	0,530150
0,659350	14,012869	0,553400
0,659200	15,110523	0,542350
0,665175	12,669445	0,575025
0,663875	13,474956	0,562075
0,661225	13,848788	0,555150
0,666975	15,455593	0,563725
0,664950	15,697779	0,559500
0,664300	13,917480	0,565725
0,668300	13,019790	0,564400
0,674300	12,441337	0,582625
0,668375	10,340038	0,588325
0,669500	12,706590	0,573625
0,673350	8,596719	0,610675
0,673750	11,699014	0,592450
0,679200	11,364282	0,602150
0,674975	9,385408	0,603125
0,677425	10,315556	0,608600
0,673400	12,213043	0,586050
0,680125	10,009957	0,609050
0,676525	11,395168	0,598675
0,676550	8,922668	0,611000
0,681775	10,215292	0,615200
0,681150	8,960535	0,619525
0,684050	10,077608	0,623825
0,678450	11,179804	0,599800
0,685600	9,415157	0,616100
0,690900	9,422337	0,626850
0,685725	10,798465	0,620625
0,691825	8,567023	0,635300
0,687350	9,548686	0,627875
0,690150	13,133575	0,609300
0,693650	6,159597	0,646800
0,689000	8,562372	0,631925
0,696075	11,400795	0,629225
0,691350	9,306615	0,628725
0,694725	7,396387	0,640925
0,694600	7,136772	0,644550
0,698525	6,929597	0,653500
0,696675	8,564718	0,648325
0,698975	7,395427	0,649100
0,699225	11,864749	0,634750
0,704075	9,015863	0,652000
0,703375	9,140948	0,654625
0,702600	4,933344	0,665675
0,703325	9,091651	0,648050
0,707250	6,324160	0,671125
0,706375	6,900251	0,662850
0,708325	7,137446	0,666175
0,707525	7,116310	0,664950
0,706175	6,807934	0,669650
0,711900	4,917179	0,679050
0,712025	6,033734	0,676375
0,712475	5,297566	0,679025
0,715900	6,662808	0,678600
0,710975	7,117603	0,669975
0,713825	5,592805	0,679700
0,715675	5,657205	0,682625
0,715525	8,191966	0,673650
0,719225	5,386647	0,688075
0,722650	7,215399	0,685575
0,720175	7,404632	0,682250
0,718425	5,674524	0,685275
0,721050	4,769581	0,691750
0,728450	4,999611	0,700850
0,720400	5,071584	0,691350
0,727475	3,352741	0,705025
0,727600	3,821899	0,704525
0,728400	6,105971	0,699200
0,729450	4,395771	0,705500
0,728275	4,889763	0,699975
0,731550	6,696177	0,700250
0,734150	5,147905	0,707725
0,732625	5,244065	0,703100
0,736025	5,058212	0,712025
0,733875	3,177759	0,714325
0,739250	3,758634	0,718850
0,737500	4,917515	0,712575
0,737875	4,995338	0,715100
0,737100	3,143933	0,719350
0,737850	3,855711	0,715625
0,739625	3,890147	0,717225
0,741250	5,094205	0,716650
0,739500	3,993873	0,717325
0,744500	3,638321	0,725600
0,742425	5,173238	0,718650
0,741525	3,150965	0,724150
0,745550	4,114283	0,725125
0,744775	3,681226	0,724700
0,747425	3,966578	0,728150
0,744525	4,321143	0,724000
0,751700	2,910621	0,737975
0,748925	3,823853	0,730350
0,753475	3,098595	0,737925
0,752275	3,179358	0,736150
0,757375	2,407023	0,744075
0,754175	3,117162	0,738150
0,758400	2,661698	0,743250
0,752850	3,006064	0,737575
0,759200	2,464819	0,745675
0,757475	3,298376	0,741800
0,758025	2,580175	0,743650
